id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
564,2025-09-10,15:28:40,25.33,25.55,59.04,60.48,ON,2025-09-10 15:28:40
565,2025-09-10,15:29:41,25.33,25.52,58.94,60.08,ON,2025-09-10 15:29:41
566,2025-09-10,15:30:42,25.29,25.52,59.47,60.26,ON,2025-09-10 15:30:42
567,2025-09-10,15:31:42,25.19,25.47,59.61,60.41,ON,2025-09-10 15:31:42
568,2025-09-10,15:32:42,25.22,25.52,60.49,61.3,ON,2025-09-10 15:32:42
569,2025-09-10,15:33:43,25.32,25.5,60.1,61.73,ON,2025-09-10 15:33:43
570,2025-09-10,15:34:43,25.24,25.56,60.26,61.62,ON,2025-09-10 15:34:43
571,2025-09-10,15:35:44,25.37,25.57,60.42,61.63,ON,2025-09-10 15:35:44
572,2025-09-10,15:36:44,25.44,25.63,60.02,61.63,ON,2025-09-10 15:36:44
573,2025-09-10,15:37:44,25.45,25.71,60.07,61.13,ON,2025-09-10 15:37:44
574,2025-09-10,15:38:44,25.38,25.69,60.07,60.9,ON,2025-09-10 15:38:44
575,2025-09-10,15:39:44,25.43,25.63,60.25,60.95,ON,2025-09-10 15:39:44
576,2025-09-10,15:40:44,25.45,25.63,60.42,61.48,ON,2025-09-10 15:40:44
577,2025-09-10,15:41:45,25.41,25.58,60.23,61.47,ON,2025-09-10 15:41:45
578,2025-09-10,15:42:45,25.34,25.57,60.32,61.62,ON,2025-09-10 15:42:45
579,2025-09-10,15:43:46,25.42,25.61,60.16,61.57,ON,2025-09-10 15:43:46
580,2025-09-10,15:44:46,25.41,25.66,61.04,61.85,ON,2025-09-10 15:44:46
581,2025-09-10,15:45:47,25.61,25.78,59.73,61.38,ON,2025-09-10 15:45:47
582,2025-09-10,15:46:47,25.74,25.88,59.65,61.42,ON,2025-09-10 15:46:47
583,2025-09-10,15:47:48,25.72,25.87,60.28,61.52,ON,2025-09-10 15:47:48
584,2025-09-10,15:48:48,25.66,25.83,60.39,61.47,ON,2025-09-10 15:48:48
585,2025-09-10,15:49:48,25.67,25.79,60.42,61.77,ON,2025-09-10 15:49:48
586,2025-09-10,15:50:48,25.79,25.89,60.62,62.0,ON,2025-09-10 15:50:48
587,2025-09-10,15:51:48,25.75,25.92,60.19,61.87,ON,2025-09-10 15:51:48
588,2025-09-10,15:52:48,25.79,25.92,62.1,63.24,ON,2025-09-10 15:52:48
589,2025-09-10,15:53:49,25.73,25.91,60.3,61.57,ON,2025-09-10 15:53:49
590,2025-09-10,15:54:49,25.79,25.94,60.19,61.8,ON,2025-09-10 15:54:49
591,2025-09-10,15:55:50,25.83,26.03,60.0,61.48,ON,2025-09-10 15:55:50
592,2025-09-10,15:56:50,25.88,26.06,60.12,61.12,ON,2025-09-10 15:56:50
593,2025-09-10,15:57:51,25.78,25.92,59.31,61.18,ON,2025-09-10 15:57:51
594,2025-09-10,15:58:51,25.89,26.01,59.63,61.18,ON,2025-09-10 15:58:51
595,2025-09-10,15:59:52,25.73,25.9,59.66,61.3,ON,2025-09-10 15:59:52
596,2025-09-10,16:00:52,25.72,25.9,59.75,61.32,ON,2025-09-10 16:00:52
597,2025-09-10,16:01:52,25.82,25.92,59.54,61.05,ON,2025-09-10 16:01:52
598,2025-09-10,16:02:53,25.82,25.85,59.47,60.88,ON,2025-09-10 16:02:53
599,2025-09-10,16:03:53,25.8,25.97,59.26,60.93,ON,2025-09-10 16:03:53
600,2025-09-10,16:04:54,25.8,25.92,59.26,60.91,ON,2025-09-10 16:04:54
601,2025-09-10,16:05:54,25.75,25.9,59.28,60.73,ON,2025-09-10 16:05:54
602,2025-09-10,16:06:54,25.67,25.84,59.17,60.68,ON,2025-09-10 16:06:54
603,2025-09-10,16:07:54,25.63,25.85,59.31,60.83,ON,2025-09-10 16:07:54
604,2025-09-10,16:08:54,25.73,25.73,58.6,60.24,ON,2025-09-10 16:08:54
605,2025-09-10,16:09:55,25.7,25.85,58.55,60.6,ON,2025-09-10 16:09:55
606,2025-09-10,16:10:55,25.65,25.76,58.36,59.76,ON,2025-09-10 16:10:55
607,2025-09-10,16:11:55,25.65,25.78,58.73,59.91,ON,2025-09-10 16:11:55
608,2025-09-10,16:12:56,25.72,25.78,58.07,59.83,ON,2025-09-10 16:12:56
609,2025-09-10,16:13:56,25.61,25.71,58.48,60.03,ON,2025-09-10 16:13:56
610,2025-09-10,16:14:57,25.69,25.71,58.48,59.94,ON,2025-09-10 16:14:57
611,2025-09-10,16:15:57,25.6,25.75,58.27,59.22,ON,2025-09-10 16:15:57
612,2025-09-10,16:16:58,25.58,25.66,58.0,59.71,ON,2025-09-10 16:16:58
613,2025-09-10,16:17:58,25.47,25.63,58.04,59.36,ON,2025-09-10 16:17:58
614,2025-09-10,16:18:59,25.47,25.68,58.32,60.09,ON,2025-09-10 16:18:59
615,2025-09-10,16:19:59,25.44,25.58,57.58,59.16,ON,2025-09-10 16:19:59
616,2025-09-10,16:20:59,25.47,25.6,58.06,59.17,ON,2025-09-10 16:20:59
617,2025-09-10,16:21:59,25.44,25.5,57.42,58.76,ON,2025-09-10 16:21:59
618,2025-09-10,16:22:59,25.45,25.56,57.95,59.49,ON,2025-09-10 16:22:59
619,2025-09-10,16:24:00,25.49,25.62,57.3,58.87,ON,2025-09-10 16:24:00
620,2025-09-10,16:25:01,25.44,25.61,57.21,58.79,ON,2025-09-10 16:25:01
621,2025-09-10,16:26:01,25.37,25.54,57.7,59.19,ON,2025-09-10 16:26:01
622,2025-09-10,16:27:02,25.38,25.55,57.37,59.16,ON,2025-09-10 16:27:02
623,2025-09-10,16:28:02,25.41,25.51,58.48,59.44,ON,2025-09-10 16:28:02
624,2025-09-10,16:29:03,25.41,25.7,58.07,59.42,ON,2025-09-10 16:29:03
625,2025-09-10,16:30:03,25.35,25.65,58.94,60.8,ON,2025-09-10 16:30:03
626,2025-09-10,16:31:03,25.31,25.41,59.01,60.48,ON,2025-09-10 16:31:03
627,2025-09-10,16:32:04,25.31,25.46,58.97,60.96,ON,2025-09-10 16:32:04
628,2025-09-10,16:33:04,25.14,25.22,59.4,60.78,ON,2025-09-10 16:33:04
629,2025-09-10,16:34:04,24.95,24.95,59.26,61.35,ON,2025-09-10 16:34:04
630,2025-09-10,16:35:04,24.77,24.81,60.32,62.49,ON,2025-09-10 16:35:04
631,2025-09-10,16:36:05,24.68,24.74,60.95,62.75,ON,2025-09-10 16:36:05
632,2025-09-10,16:37:05,24.65,24.73,61.07,63.07,ON,2025-09-10 16:37:05
633,2025-09-10,16:38:05,24.62,24.56,61.11,62.69,ON,2025-09-10 16:38:05
634,2025-09-10,16:39:06,24.53,24.53,61.29,63.41,ON,2025-09-10 16:39:06
635,2025-09-10,16:40:06,24.54,24.56,61.48,63.56,ON,2025-09-10 16:40:06
636,2025-09-10,16:41:06,24.49,24.56,61.39,63.09,ON,2025-09-10 16:41:06
637,2025-09-10,16:42:07,24.51,24.56,61.99,63.51,ON,2025-09-10 16:42:07
638,2025-09-10,16:43:07,24.6,24.75,63.26,65.35,ON,2025-09-10 16:43:07
639,2025-09-10,16:44:08,24.93,25.0,62.52,64.19,ON,2025-09-10 16:44:08
640,2025-09-10,16:45:08,25.17,25.21,61.32,64.08,ON,2025-09-10 16:45:08
641,2025-09-10,16:46:09,25.18,25.25,61.29,62.74,ON,2025-09-10 16:46:09
642,2025-09-10,16:47:09,25.24,25.33,61.36,63.47,ON,2025-09-10 16:47:09
643,2025-09-10,16:48:09,25.33,25.34,60.95,63.12,ON,2025-09-10 16:48:09
644,2025-09-10,16:49:09,25.32,25.43,61.57,63.71,ON,2025-09-10 16:49:09
645,2025-09-10,16:50:10,25.35,25.45,61.89,63.58,ON,2025-09-10 16:50:10
646,2025-09-10,16:51:11,25.41,25.62,62.72,65.11,ON,2025-09-10 16:51:11
647,2025-09-10,16:52:11,25.47,25.62,60.53,61.95,ON,2025-09-10 16:52:11
648,2025-09-10,16:53:11,25.47,25.72,61.3,62.99,ON,2025-09-10 16:53:11
649,2025-09-10,16:54:12,25.67,25.91,60.79,61.99,ON,2025-09-10 16:54:12
650,2025-09-10,16:55:12,25.62,25.89,61.94,62.77,ON,2025-09-10 16:55:12
651,2025-09-10,16:56:13,25.62,25.78,61.9,62.96,ON,2025-09-10 16:56:13
652,2025-09-10,16:57:13,25.57,25.75,60.63,61.95,ON,2025-09-10 16:57:13
653,2025-09-10,16:58:14,25.57,25.8,62.01,62.75,ON,2025-09-10 16:58:14
654,2025-09-10,16:59:15,25.62,25.96,62.04,64.19,ON,2025-09-10 16:59:15
